nome_candidato,codigo_cargo,nome_cargo,numero_candidato,numero_partido
ABRAÃO LUCAS CORDEIRO DOS SANTOS,6,DEPUTADO FEDERAL,1516,15
MARCOS ROBÉRIO RIBEIRO MONTEIRO,6,DEPUTADO FEDERAL,1233,12
DANIELE PEREIRA DO NASCIMENTO FORTES CASTELO BRANCO,6,DEPUTADO FEDERAL,3303,33
LUHANNA URYA MACIEL BEZERRA,6,DEPUTADO FEDERAL,1188,11
CARLOS EMANUEL ARAUJO MENDONÇA DE ALENCAR,6,DEPUTADO FEDERAL,4578,45
IVAN GONÇALVES LEITE,6,DEPUTADO FEDERAL,1577,15
JOSÉ IRAPUAN DE MEDEIROS,6,DEPUTADO FEDERAL,3696,36
ANA MARIA MARTINS SANTOS,6,DEPUTADO FEDERAL,5120,51
RODRIGO DOS SANTOS BESERRA,6,DEPUTADO FEDERAL,1033,10
FRANCISCO SERGIO PIRES MONTENEGRO,6,DEPUTADO FEDERAL,2077,20
LUIZIANNE DE OLIVEIRA LINS,6,DEPUTADO FEDERAL,1313,13
KARLA PATRICIA MATOS CORREIA,6,DEPUTADO FEDERAL,4466,44
