nome_municipio,ano,total_furtos
Chorozinho,2022,49
Chorozinho,2023,56
Choró,2011,1
Choró,2012,1
Choró,2013,29
Choró,2014,17
Choró,2015,19
Choró,2016,22
Choró,2017,19
Choró,2018,16
Choró,2019,6
Choró,2020,7
Choró,2021,9
Choró,2022,7
Choró,2023,12
Coreaú,2009,6
Coreaú,2010,13
Coreaú,2011,12
Coreaú,2012,13
Coreaú,2013,73
Coreaú,2014,65
Coreaú,2015,87
Coreaú,2016,70
Coreaú,2017,81
Coreaú,2018,56
Coreaú,2019,40
Coreaú,2020,29
Coreaú,2021,28
Coreaú,2022,32
Coreaú,2023,33
Crateús,2009,9
Crateús,2010,6
Crateús,2011,10
Crateús,2012,10
Crateús,2013,230
Crateús,2014,299
Crateús,2015,404
Crateús,2016,399
Crateús,2017,524
Crateús,2018,441
Crateús,2019,492
Crateús,2020,310
Crateús,2021,268
Crateús,2022,408
Crateús,2023,454
Crato,2009,1412
Crato,2010,766
Crato,2011,854
Crato,2012,859
Crato,2013,955
Crato,2014,573
Crato,2015,902
Crato,2016,957
Crato,2017,1240
Crato,2018,922
Crato,2019,1121
Crato,2020,666
Crato,2021,778
Crato,2022,1213
Crato,2023,1026
Croatá,2009,1
Croatá,2011,8
Croatá,2012,5
Croatá,2013,7
Croatá,2014,6
Croatá,2015,15
Croatá,2016,12
Croatá,2017,17
Croatá,2018,15
Croatá,2019,15
Croatá,2020,14
Croatá,2021,14
Croatá,2022,25
Croatá,2023,20
Cruz,2009,8
Cruz,2010,29
Cruz,2011,37
Cruz,2012,34
Cruz,2013,46
Cruz,2014,41
Cruz,2015,42
Cruz,2016,55
Cruz,2017,47
Cruz,2018,69
Cruz,2019,106
Cruz,2020,76
Cruz,2021,83
Cruz,2022,80
Cruz,2023,95
Deputado Irapuan Pinheiro,2010,2
Deputado Irapuan Pinheiro,2012,3
Deputado Irapuan Pinheiro,2013,2
Deputado Irapuan Pinheiro,2014,6
Deputado Irapuan Pinheiro,2015,8
Deputado Irapuan Pinheiro,2016,6
Deputado Irapuan Pinheiro,2017,7
Deputado Irapuan Pinheiro,2018,4
Deputado Irapuan Pinheiro,2019,9
Deputado Irapuan Pinheiro,2020,6
Deputado Irapuan Pinheiro,2021,5
Deputado Irapuan Pinheiro,2022,8
Deputado Irapuan Pinheiro,2023,5
Ereré,2009,1
Ereré,2010,2
Ereré,2011,2
Ereré,2012,4
Ereré,2013,5
Ereré,2014,2
Ereré,2015,5
Ereré,2016,13
Ereré,2017,9
Ereré,2018,12
Ereré,2019,8
Ereré,2020,8
Ereré,2021,5
Ereré,2022,3
Ereré,2023,3
Eusébio,2009,461
Eusébio,2010,461
Eusébio,2011,450
Eusébio,2012,412
Eusébio,2013,435
Eusébio,2014,252
Eusébio,2015,435
Eusébio,2016,406
Eusébio,2017,488
Eusébio,2018,374
Eusébio,2019,339
Eusébio,2020,274
Eusébio,2021,315
Eusébio,2022,376
Eusébio,2023,414
Farias Brito,2009,16
Farias Brito,2010,6
Farias Brito,2011,4
Farias Brito,2012,32
Farias Brito,2013,31
Farias Brito,2014,45
Farias Brito,2015,49
Farias Brito,2016,53
Farias Brito,2017,53
Farias Brito,2018,45
Farias Brito,2019,38
Farias Brito,2020,27
Farias Brito,2021,27
Farias Brito,2022,41
Farias Brito,2023,51
Forquilha,2009,12
Forquilha,2010,8
Forquilha,2011,23
Forquilha,2012,14
Forquilha,2013,28
Forquilha,2014,18
Forquilha,2015,24
Forquilha,2016,31
Forquilha,2017,34
Forquilha,2018,54
Forquilha,2019,51
Forquilha,2020,34
Forquilha,2021,48
Forquilha,2022,78
Forquilha,2023,72
Fortaleza,2009,38444
Fortaleza,2010,34905
Fortaleza,2011,31710
Fortaleza,2012,34511
Fortaleza,2013,35690
Fortaleza,2014,21577
Fortaleza,2015,30139
Fortaleza,2016,31768
Fortaleza,2017,32223
Fortaleza,2018,31826
Fortaleza,2019,31259
Fortaleza,2020,25159
Fortaleza,2021,25327
Fortaleza,2022,32476
Fortaleza,2023,33005
Fortim,2009,6
Fortim,2010,2
Fortim,2011,5
Fortim,2012,15
Fortim,2013,9
Fortim,2014,16
Fortim,2015,118
Fortim,2016,93
Fortim,2017,82
Fortim,2018,47
Fortim,2019,59
Fortim,2020,51
Fortim,2021,53
Fortim,2022,67
Fortim,2023,89
Frecheirinha,2009,10
Frecheirinha,2010,5
Frecheirinha,2011,16
Frecheirinha,2012,28
Frecheirinha,2013,24
Frecheirinha,2014,13
Frecheirinha,2015,16
Frecheirinha,2016,29
Frecheirinha,2017,35
Frecheirinha,2018,46
Frecheirinha,2019,24
Frecheirinha,2020,19
Frecheirinha,2021,26
Frecheirinha,2022,16
Frecheirinha,2023,11
General Sampaio,2009,1
General Sampaio,2010,2
General Sampaio,2011,8
General Sampaio,2012,14
General Sampaio,2013,12
General Sampaio,2014,13
General Sampaio,2015,9
General Sampaio,2016,14
General Sampaio,2017,15
General Sampaio,2018,12
General Sampaio,2019,17
General Sampaio,2020,6
General Sampaio,2021,8
General Sampaio,2022,11
General Sampaio,2023,3
Granja,2009,1
Granja,2010,4
Granja,2011,24
Granja,2012,162
Granja,2013,139
Granja,2014,129
Granja,2015,169
Granja,2016,152
Granja,2017,169
Granja,2018,159
Granja,2019,184
Granja,2020,123
Granja,2021,137
Granja,2022,199
Granja,2023,148
Granjeiro,2009,1
Granjeiro,2011,2
Granjeiro,2012,2
Granjeiro,2013,1
Granjeiro,2014,1
Granjeiro,2015,6
Granjeiro,2016,6
Granjeiro,2017,3
Granjeiro,2018,5
Granjeiro,2019,5
Granjeiro,2020,5
Granjeiro,2021,5
Granjeiro,2022,2
Granjeiro,2023,4
Graça,2011,1
Graça,2012,2
Graça,2013,10
Graça,2014,14
Graça,2015,13
Graça,2016,28
Graça,2017,35
Graça,2018,37
Graça,2019,22
Graça,2020,24
Graça,2021,28
Graça,2022,31
Graça,2023,27
Groaíras,2009,19
Groaíras,2010,15
Groaíras,2011,17
Groaíras,2012,22
Groaíras,2013,17
Groaíras,2014,7
Groaíras,2015,6
Groaíras,2016,18
Groaíras,2017,11
Groaíras,2018,16
Groaíras,2019,8
Groaíras,2020,12
Groaíras,2021,14
Groaíras,2022,13
Groaíras,2023,5
Guaiúba,2009,105
Guaiúba,2010,106
Guaiúba,2011,96
Guaiúba,2012,129
Guaiúba,2013,97
Guaiúba,2014,62
Guaiúba,2015,95
Guaiúba,2016,122
Guaiúba,2017,127
Guaiúba,2018,103
Guaiúba,2019,75
Guaiúba,2020,52
Guaiúba,2021,35
Guaiúba,2022,47
Guaiúba,2023,37
Guaraciaba do Norte,2009,1
Guaraciaba do Norte,2010,4
Guaraciaba do Norte,2012,6
Guaraciaba do Norte,2013,25
Guaraciaba do Norte,2014,75
Guaraciaba do Norte,2015,62
Guaraciaba do Norte,2016,51
Guaraciaba do Norte,2017,121
Guaraciaba do Norte,2018,112
Guaraciaba do Norte,2019,107
Guaraciaba do Norte,2020,95
Guaraciaba do Norte,2021,78
Guaraciaba do Norte,2022,119
Guaraciaba do Norte,2023,78
Guaramiranga,2009,11
Guaramiranga,2010,9
Guaramiranga,2011,19
Guaramiranga,2012,10
Guaramiranga,2013,27
Guaramiranga,2014,27
Guaramiranga,2015,36
Guaramiranga,2016,46
Guaramiranga,2017,50
Guaramiranga,2018,49
Guaramiranga,2019,32
Guaramiranga,2020,17
Guaramiranga,2021,27
Guaramiranga,2022,20
Guaramiranga,2023,17
Hidrolândia,2010,1
Hidrolândia,2011,4
Hidrolândia,2012,1
Hidrolândia,2013,17
Hidrolândia,2014,8
